train_position,row_id,group_id,y,fold
0,0,0,0,5
1,1,1,0,2
2,3,3,0,4
3,5,5,0,1
4,7,7,0,4
5,9,9,0,4
6,10,7,0,4
7,11,9,0,4
8,12,10,0,3
9,13,11,0,2
10,14,12,0,4
11,16,12,0,4
12,19,16,0,1
13,20,17,0,3
14,21,18,0,5
15,22,19,0,2
16,23,20,0,5
17,24,21,0,3
18,25,22,0,1
19,27,24,0,5
20,29,26,0,5
21,30,27,0,2
22,32,28,0,3
23,33,29,0,4
24,34,30,0,4
25,35,31,0,2
26,36,32,0,2
27,37,33,0,1
28,38,34,0,4
29,41,37,0,3
30,43,39,0,3
31,44,40,0,3
32,45,41,0,4
33,46,42,0,5
34,48,44,0,1
35,49,45,0,5
36,50,46,0,3
37,51,47,0,2
38,53,49,0,5
39,54,50,0,4
40,55,51,0,3
41,58,54,0,4
42,59,55,0,1
43,60,56,0,2
44,64,60,0,1
45,65,61,0,5
46,66,62,0,1
47,67,63,0,4
48,68,64,0,5
49,69,65,0,4
50,71,67,0,5
51,73,69,0,3
52,74,70,0,4
53,75,71,1,4
54,76,72,0,5
55,77,73,0,1
56,78,74,0,4
57,79,75,0,1
58,80,76,0,1
59,82,78,0,2
60,84,80,0,3
61,85,81,0,5
62,86,82,0,1
63,87,83,0,4
64,88,84,1,1
65,89,85,0,4
66,91,87,0,2
67,92,88,0,3
68,96,92,0,1
69,97,93,0,1
70,98,94,0,1
71,100,96,0,1
72,101,97,0,4
73,103,99,0,3
74,104,99,0,3
75,105,100,0,4
76,106,101,0,1
77,107,102,0,2
78,108,103,0,2
79,109,104,0,4
80,110,105,0,3
81,112,107,0,4
82,113,108,0,5
83,115,110,0,4
84,116,111,0,3
85,118,113,0,3
86,119,114,0,2
87,120,115,0,3
88,121,116,0,1
89,122,117,0,2
90,123,118,0,4
91,124,119,0,2
92,125,120,0,5
93,126,121,0,4
94,127,122,0,5
95,128,123,0,3
96,129,124,1,2
97,131,126,0,1
98,132,127,0,4
99,133,128,0,2
100,134,129,0,5
101,135,130,0,3
102,136,131,0,3
103,138,133,0,4
104,139,134,1,3
105,140,135,0,4
106,142,137,0,3
107,143,138,0,3
108,144,139,0,1
109,145,140,0,4
110,146,141,0,2
111,147,142,0,2
112,149,144,0,2
113,150,145,0,5
114,154,149,0,1
115,156,151,0,5
116,157,152,0,1
117,162,157,0,2
118,163,158,0,5
119,164,159,0,3
120,165,160,0,2
121,166,161,0,3
122,167,162,0,2
123,168,163,0,3
124,169,164,0,3
125,171,166,0,1
126,173,168,0,2
127,174,169,0,3
128,175,170,0,5
129,176,171,0,4
130,177,172,0,2
131,179,174,0,2
132,180,175,0,1
133,181,176,0,1
134,182,177,1,2
135,186,181,0,5
136,187,182,0,3
137,188,183,0,3
138,189,184,0,2
139,190,185,0,1
140,191,186,0,5
141,195,190,0,5
142,196,191,0,5
143,197,192,0,1
144,198,193,0,5
145,200,195,0,4
146,201,196,0,2
147,202,197,0,1
148,203,198,0,4
149,208,203,0,2
150,209,204,0,1
151,212,207,0,4
152,213,208,0,1
153,214,209,0,1
154,216,211,0,1
155,217,212,0,3
156,218,213,0,1
157,220,102,0,2
158,222,216,0,4
159,223,217,0,4
160,224,218,0,5
161,225,219,0,5
162,227,220,0,1
163,228,221,0,5
164,230,223,0,1
165,231,224,0,4
166,232,225,0,2
167,233,226,0,2
168,234,227,0,5
169,236,229,0,2
170,237,230,0,2
171,239,232,0,4
172,240,233,0,4
173,241,234,0,3
174,242,235,0,2
175,243,236,0,3
176,245,238,0,1
177,246,239,0,5
178,247,240,0,3
179,248,241,0,2
180,250,243,0,4
181,252,245,0,3
182,254,247,0,2
183,255,248,0,5
184,256,249,0,5
185,257,250,0,2
186,259,252,0,2
187,260,252,0,2
188,261,253,0,1
189,262,254,0,1
190,263,255,0,5
191,265,257,0,3
192,266,258,0,3
193,267,259,0,3
194,270,262,0,1
195,271,263,0,5
196,273,265,0,5
197,274,266,0,5
198,275,267,0,2
199,276,32,0,2
200,277,50,0,4
201,278,268,0,2
202,279,269,0,4
203,280,270,0,1
204,283,273,0,1
205,284,274,0,4
206,286,276,1,2
207,287,277,0,5
208,288,278,0,2
209,289,279,0,2
210,290,280,0,4
211,291,281,0,1
212,292,282,0,4
213,293,283,0,1
214,295,285,0,2
215,296,286,0,1
216,297,287,0,1
217,298,288,0,3
218,299,289,0,2
219,300,290,0,3
220,303,293,0,3
221,304,294,0,2
222,305,295,0,1
223,306,296,0,1
224,307,297,0,5
225,308,298,0,4
226,309,299,0,2
227,310,300,0,3
228,311,301,0,5
229,313,303,0,4
230,314,304,0,1
231,316,306,0,4
232,320,310,0,5
233,321,311,0,3
234,322,312,0,1
235,324,314,0,3
236,325,315,0,5
237,326,316,0,3
238,327,317,0,2
239,328,318,0,5
240,329,319,0,3
241,331,273,0,1
242,333,322,0,2
243,335,324,0,5
244,337,326,0,3
245,338,108,0,5
246,340,328,0,4
247,341,329,0,4
248,342,330,0,5
249,343,331,0,2
250,344,332,0,4
251,345,333,0,1
252,346,334,0,3
253,348,336,0,2
254,349,337,0,3
255,356,344,0,4
256,357,345,0,4
257,358,346,0,2
258,359,347,0,5
259,361,349,0,5
260,362,350,0,2
261,363,351,0,5
262,366,354,0,3
263,367,355,0,3
264,368,356,0,2
265,369,357,0,1
266,370,358,0,1
267,371,359,0,2
268,372,360,0,1
269,373,361,0,4
270,377,365,0,3
271,382,370,0,2
272,384,372,0,5
273,385,373,0,2
274,386,374,0,5
275,387,375,0,3
276,389,377,1,4
277,391,379,0,4
278,396,384,0,1
279,397,385,0,1
280,400,388,0,2
281,401,389,0,4
282,403,391,0,2
283,405,393,0,1
284,406,394,0,4
285,407,395,0,1
286,411,399,0,3
287,412,400,0,5
288,413,401,0,2
289,414,402,0,1
290,415,403,0,1
291,416,404,0,3
292,419,407,0,4
293,420,408,0,1
294,421,409,0,3
295,424,412,0,1
296,426,414,0,5
297,427,415,0,2
298,431,419,0,2
299,433,421,0,4
300,434,422,0,3
301,435,423,0,2
302,436,424,0,3
303,437,425,0,3
304,438,426,0,5
305,439,427,0,2
306,440,428,0,4
307,441,429,0,3
308,442,430,0,5
309,443,431,0,4
310,445,433,0,5
311,447,435,0,1
312,449,437,0,5
313,453,440,0,2
314,454,441,0,2
315,457,444,0,5
316,458,445,0,5
317,460,447,0,5
318,461,448,0,3
319,462,449,0,5
320,463,450,0,2
321,464,451,0,5
322,467,454,0,2
323,469,456,1,2
324,471,458,0,3
325,472,459,0,2
326,473,460,0,4
327,475,462,0,4
328,478,465,0,4
329,479,466,0,4
330,480,467,0,5
331,481,468,0,4
332,487,474,0,3
333,488,475,0,2
334,490,477,0,3
335,491,478,0,4
336,492,479,0,5
337,493,480,0,5
338,495,482,0,5
339,496,483,0,1
340,499,486,0,3
341,500,487,0,1
342,501,488,0,1
343,504,490,1,3
344,505,491,0,1
345,507,493,0,2
346,508,494,0,5
347,510,496,0,1
348,511,497,0,4
349,513,499,0,4
350,515,501,0,4
351,516,502,0,5
352,517,503,0,2
353,520,506,0,5
354,522,508,0,3
355,523,509,0,3
356,524,510,0,4
357,525,511,0,4
358,526,512,0,1
359,527,513,0,3
360,528,514,0,2
361,529,515,0,4
362,530,516,0,4
363,532,518,0,3
364,533,519,0,5
365,534,520,0,1
366,535,521,0,2
367,536,522,0,2
368,537,523,0,4
369,539,525,0,2
370,540,526,0,3
371,541,527,0,3
372,542,528,0,3
373,543,529,0,1
374,548,534,0,3
375,549,535,0,3
376,551,537,0,1
377,553,539,0,5
378,555,541,0,2
379,559,545,0,4
380,560,546,0,2
381,562,548,0,5
382,563,549,0,4
383,564,550,0,3
384,565,551,0,2
385,566,552,0,1
386,567,553,0,2
387,568,554,0,5
388,569,555,0,2
389,570,556,0,4
390,571,557,0,2
391,572,558,0,3
392,573,559,0,4
393,574,560,0,5
394,575,561,0,4
395,576,562,0,5
396,578,564,0,3
397,579,565,0,2
398,580,566,0,4
399,581,567,0,1
400,582,568,0,2
401,583,569,0,5
402,584,568,0,2
403,585,570,0,4
404,589,573,0,5
405,590,574,0,5
406,593,577,0,5
407,594,564,0,3
408,596,579,0,3
409,597,580,0,5
410,598,581,0,3
411,600,583,0,5
412,601,584,0,5
413,602,585,0,3
414,604,586,0,2
415,605,587,0,5
416,606,588,0,5
417,607,589,0,2
418,608,590,0,5
419,609,591,0,4
420,610,592,0,4
421,612,593,0,2
422,614,595,0,4
423,615,596,0,1
424,617,503,0,2
425,618,423,0,2
426,619,598,0,4
427,620,599,0,4
428,622,601,0,3
429,623,602,0,1
430,625,604,0,5
431,627,606,0,3
432,628,607,0,4
433,630,609,0,2
434,631,610,0,4
435,633,612,0,1
436,635,614,0,3
437,636,615,0,1
438,637,616,0,3
439,639,618,0,5
440,641,620,0,1
441,642,621,0,5
442,643,622,0,3
443,645,624,0,4
444,646,625,0,4
445,647,626,0,5
446,648,627,0,3
447,649,628,0,2
448,652,631,0,4
449,653,632,0,2
450,654,633,0,5
451,658,637,0,5
452,659,638,0,1
453,660,639,0,4
454,661,640,0,1
455,663,642,0,4
456,664,643,0,3
457,665,644,0,4
458,667,646,0,5
459,670,649,0,4
460,671,650,0,3
461,673,652,0,5
462,674,653,0,4
463,675,654,0,4
464,676,655,0,2
465,677,656,0,1
466,679,658,0,2
467,681,660,1,3
468,682,661,0,3
469,684,663,0,3
470,685,664,0,4
471,686,665,0,1
472,687,666,0,4
473,688,667,0,1
474,689,668,0,3
475,693,672,0,3
476,694,673,0,5
477,696,675,0,2
478,697,676,0,3
479,698,677,0,5
480,699,678,0,1
481,701,680,0,2
482,702,681,0,1
483,706,685,0,1
484,707,686,0,5
485,709,688,0,2
486,710,689,0,5
487,711,690,0,1
488,712,691,0,3
489,714,693,0,2
490,716,695,0,4
491,718,697,0,3
492,719,698,0,3
493,720,699,0,2
494,721,700,0,2
495,722,701,0,1
496,723,702,0,1
497,728,706,0,5
498,729,707,0,5
499,731,709,0,5
500,733,711,0,3
501,735,713,0,4
502,736,714,0,3
503,737,715,0,5
504,738,716,0,2
505,739,717,0,1
506,740,718,0,2
507,741,719,0,2
508,743,721,0,2
509,744,722,0,1
510,745,723,0,2
511,747,725,0,1
512,749,727,0,3
513,750,728,0,3
514,752,730,0,5
515,753,731,0,5
516,754,732,0,1
517,755,733,0,2
518,756,734,0,5
519,758,736,0,5
520,759,737,0,3
521,760,738,0,4
522,762,740,0,3
523,763,741,0,1
524,764,742,0,3
525,765,743,0,4
526,769,747,0,3
527,771,749,0,5
528,773,751,0,1
529,774,752,0,3
530,775,753,0,2
531,776,754,0,1
532,777,755,0,3
533,778,756,0,2
534,779,757,0,3
535,780,758,0,1
536,781,759,0,3
